"#","English (found in UI)","Myanmar (fill in)","Coverage","Leftover EN (review)","Found in (file:line)"
"234","Device Color:","","partial","Color","src/components/intake/CreateTicketSoloPage.tsx:550"
"235","Device Family","","partial","Family","src/components/prices/PriceSettingsModal.tsx:926"
"236","Device Intake Print Voucher","","partial","Intake","src/components/common/DeviceTagPrinterModal.tsx:839"
"237","Device Model × Component Stock Matrix","","partial","Component","src/components/inventory/InventoryManagementModule.tsx:2704"
"238","Device Model Folders & Show/Hide Controls","","partial","s Controls","src/components/prices/PriceSettingsModal.tsx:887"
"239","Device Specification","","partial","Specification","src/components/crm/CustomerRepairTimeline.tsx:315"
"240","Devices Management & Service History","","partial","Service History","src/components/devices/DevicesManagementModule.tsx:252"
"241","Devices moved to 'Finished' status in the repair pipeline automatically flow into QA Control for final inspection.","","partial","s moved to status in the repair pipeline automatically flow into Control for final inspection","src/components/qa/QualityAssuranceModule.tsx:239"
"242","Diag Finished","","partial","Diag","src/components/pos/PosInvoicingModule.tsx:403"
"243","Diagnostic Completed Devices (","","partial","Diagnostic Completed s","src/components/pos/PosInvoicingModule.tsx:401"
"244","Diagnostic Item","","partial","Diagnostic","src/components/common/DeviceTagPrinterModal.tsx:382"
"245","Digital Service Voucher & Estimate Receipt","","partial","Digital Service Receipt","src/components/portal/CustomerFacingWebPortal.tsx:1119"
"246","Discount Applied:","","partial","Applied","src/components/portal/CustomerFacingWebPortal.tsx:675; src/components/prices/PriceCatalogModule.tsx:812"
